userId,statusId,datetime,rt,sentiment
Clefy3,993988345268187136,1525820263000,0,1.0
xnxwnjobaltftc1,993988304369586177,1525820253000,0,1.0
Crypto__Fun,993987410836017152,1525820040000,0,2.0
TV_TradingIdeas,993988311638163456,1525820255000,0,1.0
xoxochris_,993988362762518528,1525820267000,0,1.0
ashleywhitetwe1,993988266658619392,1525820244000,0,2.0
DamSonCrypto,993987456541315072,1525820051000,0,1.0
annehillebrand2,993988359730139136,1525820267000,0,1.0
thedojidojo,993988311545868288,1525820255000,0,1.0
nimacheeps,993988335415767042,1525820261000,0,1.27007299270073
soopy360,993988362410192896,1525820267000,0,1.0
ShroudCrot,993988255732285440,1525820242000,0,2.3138686131386863
mangaoil_miriam,993988310933622784,1525820255000,0,1.0
mangaoil_miriam,993988326209318914,1525820259000,0,1.0
mangaoil_miriam,993988341598248960,1525820262000,0,1.0
mangaoil_miriam,993988357351931904,1525820266000,0,1.0
mangaoil_miriam,993988373885980672,1525820270000,0,1.0
mangaoil_miriam,993988389627158531,1525820274000,0,1.0
igguldypigguldy,993987404691210240,1525820039000,0,1.0
jdamijan,993987411066740737,1525820040000,0,1.0
florinipat,993987436433702913,1525820046000,0,2.0
InAnt19,993987396806078464,1525820037000,0,1.0962962962962963
NVermuthov,993988304994537472,1525820253000,0,1.5144927536231885
JonhHan2,993988372782833664,1525820270000,0,1.5144927536231885
Crypto_Popo,993987432654823426,1525820045000,0,1.0
Crypto_Popo,993988326393868293,1525820259000,0,1.0
Crypto_Popo,993988365618905088,1525820268000,0,2.0
Lingtonwill,993987409749651458,1525820040000,0,1.125925925925926
NSholevski,993988322690306049,1525820258000,0,1.0
CryptoCX1,993988336808214528,1525820261000,0,1.0
dovuong12,993988356521381888,1525820266000,0,1.3357142857142856
stone22stone,993987426107494400,1525820044000,0,1.0
Hanakookie1,993988277630840832,1525820247000,0,1.0
jstnanderson,993987455786217477,1525820051000,0,1.963235294117647
sgabby851,993988305808224256,1525820254000,0,1.0
AshGldslv,993987424865808384,1525820044000,0,1.0
OneCryptoNews,993988343724572672,1525820263000,0,1.0
ihavedata,993987458495807489,1525820052000,0,2.0
kdibb,993987426270916609,1525820044000,0,1.0
bakhar_denis,993988309490823168,1525820255000,0,2.963768115942029
LouisBarth,993988318634348544,1525820257000,0,1.79136690647482
bitbit07033,993987446575583233,1525820049000,0,1.5912408759124088
bitbit07033,993988310648287232,1525820255000,0,1.5912408759124088
bitbit07033,993988347751157760,1525820264000,0,1.5912408759124088
PoloPSD,993987455211761667,1525820051000,0,1.5255474452554745
cryptokasuy,993987430213660672,1525820045000,0,1.0
CayyoluBurada,993988258995625986,1525820243000,0,1.0
elyousfi2040,993988362838204416,1525820267000,0,2.3138686131386863
elyousfi2040,993988379971907584,1525820271000,0,1.0
Kenny808080,993988324464340993,1525820258000,0,1.0
bit_toshikyoku,993988316914733057,1525820256000,0,1.0
The_Crypt_Keepr,993988275936296961,1525820247000,0,1.0
OllerdisseRobin,993988368039104513,1525820269000,0,1.0
hite04244868,993988373344747520,1525820270000,0,2.646153846153846
Mobilumcom,993987429395714048,1525820045000,0,1.0
cryptohipo,993987404183748608,1525820039000,0,1.0
cryptohipo,993987417173471232,1525820042000,0,1.4532374100719425
cryptohipo,993987434797940736,1525820046000,0,1.0
cryptohipo,993987448374935552,1525820049000,0,1.0
RahulbVEVO,993988340289425410,1525820262000,0,1.0
Blockch09940168,993987450509971458,1525820050000,0,1.2753623188405796
sinmaikanemochi,993987438811885568,1525820047000,0,2.0
Ourcryptojourn1,993988318995107840,1525820257000,0,2.4452554744525545
healthbodyandme,993987453840060421,1525820051000,0,1.79136690647482
sergearuzeck,993987425184591872,1525820044000,0,1.064748201438849
MyNameIsObiWan,993987454091825152,1525820051000,0,1.0
ItzGetty,993988276653617159,1525820247000,0,1.2661870503597121
MishaGuttentag,993988374162788353,1525820270000,0,1.0
devnullius,993987400950042629,1525820038000,0,1.0
jennarossi87,993987451189329920,1525820050000,0,2.0
hiro93645322,993987460987174914,1525820052000,0,1.0
whitneyavery60,993987390183178245,1525820035000,0,1.0
whitneyavery60,993987405735759872,1525820039000,0,1.0
whitneyavery60,993987421363752960,1525820043000,0,1.0
whitneyavery60,993987437058764805,1525820047000,0,1.0
whitneyavery60,993987453051645952,1525820050000,0,1.0
amalakbar016,993988330046898176,1525820259000,0,1.0
amalakbar016,993988345012281344,1525820263000,0,1.0
mardhikakb,993988257380642817,1525820242000,0,1.2536231884057971
bitcoinMXN,993988356928307201,1525820266000,0,1.0
Taufiq12957276,993988245351378945,1525820239000,0,3.0
TeeeJay921,993987390426542080,1525820035000,0,1.0
